-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "OdishaGSDPcurrent.csv", 
 "title": "Download CSV for Odisha Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/OdishaGSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","1460377","1570754","1781141","2644483","2655703","2908391","3158054","3064641","4444566"
"Foresty and Logging","257627","242120","274995","324045","327073","356586","451007","426512","475251"
"Fishing","107694","118525","126759","139992","169523","188907","234114","264298","269984"
"Ag and Allied","1825698","1931399","2182895","3108520","3152299","3453884","3843175","3755451","5189801"
"Mining and Quarrying","586186","712678","866277","1224754","1593737","1559500","2172713","2278804","2570343"
"Sub total of primary","2411884","2644077","3049172","4333274","4746036","5013384","6015888","6034255","7760144"
"Manufacturing","936979","987853","1324602","1848687","2227942","2130547","2454750","2988210","3273117"
"Registered","744091","779504","1076759","1557947","1918831","1799015","2085829","2580778","2838025"
"Unregistered","192888","208349","247843","290740","309111","331532","368921","407432","435092"
"Construction","809272","865857","1086634","1291006","1454512","1578871","1731882","1996470","2236855"
"Electricity, Gas and water Supply","319737","302148","388583","458259","346142","270640","427510","495204","527738"
"Sub total of secondary","2065988","2155858","2799818","3597952","4028596","3980058","4614142","5479884","6037710"
"Industry","2652174","2868536","3666095","4822706","5622333","5539558","6786855","7758688","8608053"
"Transport Storage and Communication","586022","681176","809265","937737","1144074","1356825","1656961","1908924","2309239"
"Railways","103015","106040","134853","153531","169406","165172","173326","188487","193140"
"Transport by other means","382390","463190","554277","653491","822492","1009205","1266283","1471018","1817846"
"Storage","7392","8580","9929","11678","13873","17239","20978","26108","31496"
"Communication","93225","103366","110205","119037","138303","165209","196374","223311","266757"
"Trade, hotels and restaurants","829815","994841","1288337","1485807","1746757","1986706","2424687","2813391","3391363"
"Banking and Insurance","251808","269320","313386","365366","447467","517251","694170","804398","994678"
"Real estate, ownership of dwelling and business","505849","551192","603947","666032","750297","966686","1162351","1337691","1545325"
"Pubic Administration","366451","358617","395180","449410","616351","702742","817234","945927","1212080"
"Other Services","755126","854568","924842","1091866","1369495","1770991","2061046","2265474","2623870"
"Sub total of tertiary","3295071","3709714","4334957","4996219","6074439","7301201","8816449","10075805","12076555"
"State domestic product","7772943","8509649","10183947","12927445","14849071","16294643","19446479","21589944","25874409"

"Figures are in Rs. Lakh"
